,Rank,Player,Position,FF    ,FA,AF,B,OP,ToG%,Season,Round
0,1,Scott Lycett,RUC,7,0,100,0,2,85,2023,Round 11
1,2,Jesse Hogan,KEYF,4,0,112,0,2,88,2023,Round 11
2,2,Jason Horne-Francis,MID,4,1,84,0,0,77,2023,Round 11
3,2,Lachie Neale,MID,4,1,100,0,0,89,2023,Round 11
4,2,Matt Rowell,MID,4,0,124,0,2,86,2023,Round 11
5,2,Cody Weightman,FWD,4,0,61,0,1,66,2023,Round 11
6,2,Connor West,FWD,4,0,56,0,1,81,2023,Round 11
7,8,Taylor Adams,FWD,3,0,70,1,3,80,2023,Round 11
8,8,Jye Amiss,KEYF,3,1,70,3,1,78,2023,Round 11
9,8,Tanner Bruhn,MID,3,0,79,0,0,53,2023,Round 11
10,8,Adam Cerra,MID,3,1,90,1,3,80,2023,Round 11
11,8,Brad Crouch,MID,3,1,114,1,0,77,2023,Round 11
12,8,Josh Dunkley,MID,3,0,112,0,5,80,2023,Round 11
13,8,Ryan Gardner,KEYD,3,1,41,0,19,100,2023,Round 11
14,8,James Harmes,FWD,3,1,77,0,3,64,2023,Round 11
15,8,Rowan Marshall,RUC,3,2,96,0,1,88,2023,Round 11
16,8,Luke McDonald,DEF,3,0,81,0,2,87,2023,Round 11
17,8,Seamus Mitchell,DEF,3,2,70,2,2,77,2023,Round 11
18,8,Jai Newcombe,MID,3,1,100,1,0,77,2023,Round 11
19,8,Luke Parker,MID,3,2,75,0,0,90,2023,Round 11
20,8,Luke Pedlar,FWD,3,0,56,2,1,71,2023,Round 11
21,8,Isaac Quaynor,DEF,3,0,74,0,1,85,2023,Round 11
22,23,Harris Andrews,KEYD,2,1,19,0,12,100,2023,Round 11
23,23,Marcus Bontempelli,MID,2,1,116,0,3,82,2023,Round 11
24,23,Jordan Boyd,DEF,2,0,49,1,3,78,2023,Round 11
25,23,Dan Butler,FWD,2,1,70,0,1,83,2023,Round 11
